Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,City,Category,Product_Name,Sales_Channel,Quantity,Unit_Price,Sales,Profit,Discount,Profit_Margin
ORD_00001,2025-07-07,CUST_5012,Consumer,North,New York,Beauty,Shampoo,Online,2,45.45,79.4,29.19,0.127,0.368
ORD_00002,2023-10-22,CUST_1434,Home Office,North,New York,Clothing,Shoes,Online,9,56.46,375.65,88.19,0.261,0.235
ORD_00003,2024-03-03,CUST_4527,Corporate,West,San Francisco,Home & Garden,Table,Online,2,213.98,427.96,88.88,0.0,0.208
ORD_00004,2024-06-18,CUST_3045,Corporate,North,Chicago,Sports,Basketball,Online,9,93.98,845.79,244.09,0.0,0.289
ORD_00005,2024-09-26,CUST_1750,Home Office,Central,Denver,Beauty,Lipstick,Online,5,59.33,296.67,105.79,0.0,0.357
ORD_00006,2024-10-15,CUST_3664,Corporate,East,Washington DC,Beauty,Shampoo,Store,4,45.16,180.63,56.09,0.0,0.311
ORD_00007,2023-12-04,CUST_5010,Consumer,Central,Minneapolis,Clothing,Shoes,Store,7,45.25,316.72,119.6,0.0,0.378
ORD_00008,2024-05-03,CUST_6168,Corporate,East,Philadelphia,Clothing,T-Shirt,Store,2,40.82,81.65,31.26,0.0,0.383
ORD_00009,2024-08-09,CUST_8517,Consumer,South,Houston,Sports,Tennis Racket,Store,3,86.99,215.21,57.77,0.175,0.268
ORD_00010,2025-05-11,CUST_9348,Corporate,West,San Francisco,Clothing,Jeans,Online,1,89.58,71.29,10.4,0.204,0.146
ORD_00011,2025-05-24,CUST_8668,Home Office,North,Boston,Sports,Basketball,Store,9,179.12,1612.05,166.76,0.0,0.103
ORD_00012,2025-08-20,CUST_2827,Corporate,Central,Kansas City,Beauty,Shampoo,Store,3,35.42,106.25,41.03,0.0,0.386
ORD_00013,2024-06-17,CUST_5889,Home Office,Central,Denver,Books,Fiction Novel,Phone,10,15.97,114.0,24.19,0.286,0.212
ORD_00014,2025-03-18,CUST_1319,Consumer,North,Chicago,Home & Garden,Plant,Store,5,171.84,859.18,148.0,0.0,0.172
